2018-02-21 12:12:42,143 INFO     INITIATING RUN ........
2018-02-21 12:12:42,144 INFO     PREPROCESSING THE DATASET ..........
2018-02-21 12:12:42,163 INFO     Performing Central crop
2018-02-21 12:12:42,184 INFO     Performing random horizontal flip
2018-02-21 12:12:42,201 INFO     Standarizing the image
2018-02-21 12:12:42,224 INFO     SEED for scope: 553
2018-02-21 12:12:42,253 INFO     Running Scope bn_1: 
2018-02-21 12:12:42,303 INFO     conv_layer : conv_1 shape: (?, 56, 56, 64)
2018-02-21 12:12:42,303 INFO     SEED for scope: 292
2018-02-21 12:12:42,327 INFO     Running Scope bn_1: 
2018-02-21 12:12:42,385 INFO     residual_block_1_1 : conv_1 shape: (?, 56, 56, 64)
2018-02-21 12:12:42,385 INFO     SEED for scope: 394
2018-02-21 12:12:42,408 INFO     Running Scope bn_2: 
2018-02-21 12:12:42,460 INFO     residual_block_1_1 : conv_2 shape: (?, 56, 56, 64)
2018-02-21 12:12:42,462 INFO     residual_block_1_1 : Skip add shape: (?, 56, 56, 64)
2018-02-21 12:12:42,462 INFO     SEED for scope: 874
2018-02-21 12:12:42,484 INFO     Running Scope bn_1: 
2018-02-21 12:12:42,538 INFO     residual_block_1_2 : conv_1 shape: (?, 56, 56, 64)
2018-02-21 12:12:42,538 INFO     SEED for scope: 445
2018-02-21 12:12:42,565 INFO     Running Scope bn_2: 
2018-02-21 12:12:42,616 INFO     residual_block_1_2 : conv_2 shape: (?, 56, 56, 64)
2018-02-21 12:12:42,619 INFO     residual_block_1_2 : Skip add shape: (?, 56, 56, 64)
2018-02-21 12:12:42,619 INFO     SEED for scope: 191
2018-02-21 12:12:42,646 INFO     residual_block_2_1 : conv_shortcut shape: (?, 28, 28, 128)
2018-02-21 12:12:42,646 INFO     SEED for scope: 161
2018-02-21 12:12:42,668 INFO     Running Scope bn_1: 
2018-02-21 12:12:42,715 INFO     residual_block_2_1 : conv_1 shape: (?, 28, 28, 128)
2018-02-21 12:12:42,715 INFO     SEED for scope: 141
2018-02-21 12:12:42,742 INFO     Running Scope bn_2: 
2018-02-21 12:12:42,861 INFO     residual_block_2_1 : conv_2 shape: (?, 28, 28, 128)
2018-02-21 12:12:42,863 INFO     residual_block_2_1 : Skip add shape: (?, 28, 28, 128)
2018-02-21 12:12:42,863 INFO     SEED for scope: 213
2018-02-21 12:12:42,886 INFO     Running Scope bn_1: 
2018-02-21 12:12:42,936 INFO     residual_block_2_2 : conv_1 shape: (?, 28, 28, 128)
2018-02-21 12:12:42,936 INFO     SEED for scope: 436
2018-02-21 12:12:42,960 INFO     Running Scope bn_2: 
2018-02-21 12:12:43,010 INFO     residual_block_2_2 : conv_2 shape: (?, 28, 28, 128)
2018-02-21 12:12:43,013 INFO     residual_block_2_2 : Skip add shape: (?, 28, 28, 128)
2018-02-21 12:12:43,013 INFO     SEED for scope: 754
2018-02-21 12:12:43,041 INFO     residual_block_3_1 : conv_shortcut shape: (?, 14, 14, 256)
