2018-04-23 01:49:43,486 INFO     SEED for scope: 553
2018-04-23 01:49:43,546 INFO     conv1_1 : shape = (?, 400, 400, 64)
2018-04-23 01:49:43,546 INFO     SEED for scope: 292
2018-04-23 01:49:43,601 INFO     conv1_2 : shape = (?, 400, 400, 64)
2018-04-23 01:49:43,605 INFO     pool_1 : shape = (?, 200, 200, 64)
2018-04-23 01:49:43,605 INFO     SEED for scope: 394
2018-04-23 01:49:43,659 INFO     conv2_1 : shape = (?, 200, 200, 128)
2018-04-23 01:49:43,659 INFO     SEED for scope: 874
2018-04-23 01:49:43,709 INFO     conv2_2 : shape = (?, 200, 200, 128)
2018-04-23 01:49:43,713 INFO     pool_2 : shape = (?, 100, 100, 128)
2018-04-23 01:49:43,713 INFO     SEED for scope: 445
2018-04-23 01:49:43,768 INFO     conv3_1 : shape = (?, 100, 100, 256)
2018-04-23 01:49:43,768 INFO     SEED for scope: 191
2018-04-23 01:49:43,820 INFO     conv3_2 : shape = (?, 100, 100, 256)
2018-04-23 01:49:43,820 INFO     SEED for scope: 161
2018-04-23 01:49:43,870 INFO     conv3_3 : shape = (?, 100, 100, 256)
2018-04-23 01:49:43,874 INFO     pool_3 : shape = (?, 50, 50, 256)
2018-04-23 01:49:43,874 INFO     SEED for scope: 141
2018-04-23 01:49:43,921 INFO     conv4_1 : shape = (?, 50, 50, 512)
2018-04-23 01:49:43,922 INFO     SEED for scope: 213
2018-04-23 01:49:43,971 INFO     conv4_2 : shape = (?, 50, 50, 512)
2018-04-23 01:49:43,971 INFO     SEED for scope: 436
2018-04-23 01:49:44,027 INFO     conv4_3 : shape = (?, 50, 50, 512)
2018-04-23 01:49:44,031 INFO     pool_4 : shape = (?, 25, 25, 512)
2018-04-23 01:49:44,032 INFO     SEED for scope: 754
2018-04-23 01:49:44,107 INFO     conv5 shape: (?, 25, 25, 4096)
2018-04-23 01:49:44,107 INFO     SEED for scope: 991
2018-04-23 01:49:44,155 INFO     conv6 shape: (?, 25, 25, 4096)
2018-04-23 01:49:44,155 INFO     SEED for scope: 302
2018-04-23 01:49:44,201 INFO     conv_u1 shape: (?, 100, 100, 3)
2018-04-23 01:49:44,201 INFO     SEED for scope: 992
2018-04-23 01:49:44,260 INFO     conv_u2 shape: (?, 50, 50, 3)
2018-04-23 01:49:44,260 INFO     SEED for scope: 223
2018-04-23 01:49:44,310 INFO     conv_u3 shape: (?, 25, 25, 3)
2018-04-23 01:49:44,310 INFO     SEED for scope: 645
2018-04-23 01:49:44,356 INFO     conv_u4 shape: (?, 25, 25, 3)
2018-04-23 01:49:44,356 INFO     SEED for scope: 394
2018-04-23 01:49:44,429 INFO     dconv_u1 shape: (?, 25, 25, 3)
2018-04-23 01:49:44,431 INFO     fuse_1 shape: (?, 25, 25, 3)
2018-04-23 01:49:44,432 INFO     SEED for scope: 394
2018-04-23 01:49:44,505 INFO     dconv_u2 shape: (?, 50, 50, 3)
2018-04-23 01:49:44,507 INFO     fuse_2 shape: (?, 50, 50, 3)
2018-04-23 01:49:44,507 INFO     SEED for scope: 394
2018-04-23 01:49:44,582 INFO     dconv_u2 shape: (?, 100, 100, 3)
2018-04-23 01:49:44,586 INFO     fuse_3 shape: (?, 100, 100, 3)
2018-04-23 01:49:44,586 INFO     SEED for scope: 394
2018-04-23 01:49:44,750 INFO     dconv_u4 shape: (?, 400, 400, 3)
2018-04-23 01:49:44,778 INFO     INITIALIZING OPTIMIZATION WITH ADAM: .....
