2018-04-20 04:09:06,241 INFO     SEED for scope: 553
2018-04-20 04:09:06,268 INFO     conv1_1 : shape = (?, 400, 400, 64)
2018-04-20 04:09:06,268 INFO     SEED for scope: 292
2018-04-20 04:09:06,292 INFO     conv1_2 : shape = (?, 400, 400, 64)
2018-04-20 04:09:06,294 INFO     pool_1 : shape = (?, 200, 200, 64)
2018-04-20 04:09:06,294 INFO     SEED for scope: 394
2018-04-20 04:09:06,320 INFO     conv2_1 : shape = (?, 200, 200, 128)
2018-04-20 04:09:06,320 INFO     SEED for scope: 874
2018-04-20 04:09:06,346 INFO     conv2_2 : shape = (?, 200, 200, 128)
2018-04-20 04:09:06,348 INFO     pool_2 : shape = (?, 100, 100, 128)
2018-04-20 04:09:06,348 INFO     SEED for scope: 445
2018-04-20 04:09:06,374 INFO     conv3_1 : shape = (?, 100, 100, 256)
2018-04-20 04:09:06,374 INFO     SEED for scope: 191
2018-04-20 04:09:06,401 INFO     conv3_2 : shape = (?, 100, 100, 256)
2018-04-20 04:09:06,401 INFO     SEED for scope: 161
2018-04-20 04:09:06,426 INFO     conv3_3 : shape = (?, 100, 100, 256)
2018-04-20 04:09:06,428 INFO     pool_3 : shape = (?, 50, 50, 256)
2018-04-20 04:09:06,428 INFO     SEED for scope: 141
2018-04-20 04:09:06,453 INFO     conv4_1 : shape = (?, 50, 50, 512)
2018-04-20 04:09:06,453 INFO     SEED for scope: 213
2018-04-20 04:09:06,478 INFO     conv4_2 : shape = (?, 50, 50, 512)
2018-04-20 04:09:06,478 INFO     SEED for scope: 436
2018-04-20 04:09:06,502 INFO     conv4_3 : shape = (?, 50, 50, 512)
2018-04-20 04:09:06,504 INFO     pool_4 : shape = (?, 25, 25, 512)
2018-04-20 04:09:06,504 INFO     SEED for scope: 754
2018-04-20 04:09:06,542 INFO     conv5 shape: (?, 25, 25, 4096)
2018-04-20 04:09:06,542 INFO     SEED for scope: 991
2018-04-20 04:09:06,567 INFO     conv6 shape: (?, 25, 25, 4096)
